,RNA.Enterocytes.BEST4
EPS15,0.222204275
RP11-253A20.1,0.0
RP11-191G24.1,0.011131494
OSBPL9,0.105714591
NRD1,0.430397661
RP4-657D16.3,0.0
RP4-657D16.6,0.0
RAB3B,0.0
TXNDC12,0.251078947
KTI12,0.095010523
BTF3L4,0.68502166
ZFYVE9,0.181156849
CC2D1B,0.058204295
RP11-155O18.6,0.0
ORC1,0.0
PRPF38A,0.46862864
ZCCHC11,0.077521081
GPX7,0.0
FAM159A,0.0
COA7,0.062000498
ZYG11B,0.362034584
ZYG11A,0.0
ECHDC2,0.481482954
SCP2,3.748815311
PODN,0.0
CPT2,0.348228703
C1orf123,0.32083561
RP5-1024G6.7,0.0
MAGOH,0.942825691
RP5-1024G6.5,0.0
RP5-1024G6.8,0.022171769
LRP8,0.0
RP11-117D22.2,0.0
GLIS1,0.0
NDC1,0.0
YIPF1,0.087568013
HSPB11,0.612661362
LRRC42,0.290552691
RP4-758J24.5,0.017607122
TMEM59,6.493270668
TCEANC2,0.0
AL161915.1,0.0
AL357673.1,0.0
CYB5RL,0.005987909
MRPL37,0.385473953
SSBP3,0.645707244
ACOT11,0.263284954
FAM151A,0.053177912
MROH7,0.0
TTC4,0.038139989
PARS2,0.011442485
TTC22,0.521539891
C1orf177,0.0
DHCR24,0.213613359
TMEM61,0.017607122
BSND,0.0
PCSK9,0.005565747
USP24,0.316315971
RP11-504A18.1,0.0
PPAP2B,0.13091747
PRKAA2,0.089559834
C1orf168,0.0
DAB1,0.0
OMA1,0.048192101
TACSTD2,0.0
MYSM1,0.304875587
JUN,5.543437114
LINC01135,0.019045588
RP4-794H19.1,0.03047294
RP4-794H19.4,0.0
FGGY,0.005987909
RP4-782L23.1,0.0
HOOK1,0.381117263
CYP2J2,0.141596124
RP11-436K8.1,0.0
NFIA,0.285369619
TM2D1,0.367596153
RP11-430G17.3,0.0
INADL,0.366563372
L1TD1,0.029517384
KANK4,0.0
USP1,0.35454662
DOCK7,0.139171485
RP11-230B22.1,0.0
ATG4C,0.043444534
FOXD3,0.0
ALG6,0.02257398
ITGB3BP,0.110474798
EFCAB7,0.008469523
DLEU2L,0.005565747
PGM1,0.186868504
ROR1,0.0
CACHD1,0.0
RAVER2,0.058223238
JAK1,1.110949179
RP11-182I10.3,0.0
RP4-535B20.4,0.0
RP4-535B20.1,0.0
AK4,0.067873969
DNAJC6,0.0
LEPR,0.0
LEPROT,0.562982004
PDE4B,0.037736988
SGIP1,0.0
TCTEX1D1,0.0
WDR78,0.15649361
MIER1,2.366965742
SLC35D1,0.754276269
IL23R,0.0
IL12RB2,0.0
SERBP1,1.854906814
GADD45A,0.60200614
GNG12,1.722585169
GNG12-AS1,0.066482289
DIRAS3,0.0
WLS,0.231983917
DEPDC1,0.0
LRRC7,0.0
LRRC40,0.023089143
SRSF11,1.108994306
ANKRD13C,0.077212515
HHLA3,0.137042533
CTH,0.236646021
RP11-42O15.3,0.0
PTGER3,0.0
ZRANB2,1.080813678
NEGR1,0.0
LRRIQ3,0.0
FPGT,0.12362106
FPGT-TNNI3K,0.0
RP11-17E13.2,0.022171769
CRYZ,0.029623661
TYW3,0.115621138
SLC44A5,0.0
ACADM,0.586579295
RABGGTB,0.289922704
MSH4,0.0
ST6GALNAC3,0.149396666
RP5-1102E8.3,0.0
ST6GALNAC5,0.0
PIGK,0.112716399
AK5,0.0
ZZZ3,0.352095563
USP33,0.263338796
FAM73A,0.162942299
NEXN,0.0
FUBP1,0.198156272
DNAJB4,0.415897121
GIPC2,0.790207483
RP11-386I14.4,0.011975818
PTGFR,0.0
IFI44L,0.392752409
IFI44,0.0
ELTD1,0.0
RP5-887A10.1,0.0
LPHN2,0.0
RP11-170N11.1,0.0
RP11-475O6.1,0.0
TTLL7,0.0
RP11-486G15.2,0.0
PRKACB,0.903261106
SAMD13,0.234678622
DNASE2B,0.0
RPF1,0.244094444
GNG5,4.889765549
CTBS,0.209414893
C1orf180,0.0
SSX2IP,0.075999342
LPAR3,0.0
MCOLN2,0.0
WDR63,0.0
MCOLN3,0.0
SYDE2,0.008469523
C1orf52,0.043956693
BCL10,1.234625124
RP11-131L23.1,0.088929994
DDAH1,0.74376543
RP11-131L23.2,0.0
RP11-290M5.4,0.0
CYR61,0.31094006
ZNHIT6,0.199732249
COL24A1,0.0
ODF2L,0.177640232
CLCA2,0.0
CLCA1,0.857736021
CLCA4,16.49514069
RP4-612B15.3,0.017846128
SH3GLB1,2.474613722
Sep-15,0.754889805
HS2ST1,0.093444282
RP4-604K5.2,0.0
LMO4,0.857810787
PKN2,0.839065259
GTF2B,0.199003054
CCBL2,0.114367024
RBMXL1,0.081148394
GBP3,0.896822285
GBP1,0.274392251
GBP2,0.598717005
GBP7,0.0
GBP4,0.137151635
GBP5,0.0
GBP6,0.0
LRRC8B,0.038278977
RP5-1007M22.2,0.0
LRRC8C,0.0
RP5-943J3.2,0.0
LRRC8D,0.231431238
ZNF326,0.863020429
BARHL2,0.0
RP4-665J23.1,0.0
ZNF644,0.464454813
CDC7,0.0
TGFBR3,0.0
BRDT,0.0
EPHX4,0.014270443
BTBD8,0.0
KIAA1107,0.043180203
GLMN,0.083954385
RPAP2,0.240614662
GFI1,0.0
EVI5,0.178196089
RPL5,9.620782869
FAM69A,0.068392968
MTF2,0.215665785
TMED5,0.269510877
CCDC18,0.0
DR1,0.460560204
FNBP1L,0.326442014
BCAR3,0.198946379
RP5-1033H22.2,0.009340487
RP4-561L24.3,0.0
DNTTIP2,0.459554678
GCLM,0.005565747
ABCA4,0.0
ARHGAP29,0.0
ABCD3,0.568549928
F3,0.02257398
LINC01057,0.041861001
SLC44A3,0.229295243
CNN3,0.378964424
RP4-639F20.1,0.083836351
ALG14,0.219161701
TMEM56,0.797365341
RP11-57H12.3,0.0
RWDD3,0.005987909
PTBP2,0.006530553
DPYD,0.033390319
SNX7,0.697671302
LPPR4,0.0
PALMD,0.0
FRRS1,0.077639752
AGL,0.150301294
RP5-884G6.2,0.0
SLC35A3,1.010739861
HIAT1,0.251641201
SASS6,0.0
TRMT13,0.063538095
DBT,0.290621587
RP11-305E17.6,0.0
RTCA,0.259058804
CDC14A,0.468195888
VCAM1,0.0
EXTL2,0.035865924
RP4-549L20.3,0.0
SLC30A7,0.108492053
DPH5,0.031658291
AC093157.1,0.0
RP11-421L21.2,0.0
RP11-421L21.3,0.008469523
S1PR1,0.0
RNPC3,0.143024305
AMY2B,0.0
RP11-364B6.1,0.0
PRMT6,0.14418748
NTNG1,0.0
VAV3,0.599856328
SLC25A24,0.971205098
RP11-483I13.5,0.0
FAM102B,0.026990845
HENMT1,0.017430395
PRPF38B,0.627770899
FNDC7,0.0
STXBP3,0.532161317
GPSM2,0.063009175
CLCC1,0.120202645
WDR47,0.0
TAF13,0.447457891
RP5-1065J22.8,0.0
TMEM167B,0.111642856
SCARNA2,0.0
C1orf194,0.0
KIAA1324,0.069590284
SARS,0.674223512
CELSR2,0.0
PSRC1,0.0
MYBPHL,0.0
SORT1,0.412665811
PSMA5,1.42297185
SYPL2,0.0
ATXN7L2,0.0
CYB561D1,0.0
AMIGO1,0.0
GNAI3,0.677209594
RP5-1160K1.3,0.0
AMPD2,0.298682767
GSTM4,0.249915216
GSTM2,0.0
GSTM1,0.0
AC000032.2,0.0
GSTM5,0.0
GSTM3,0.03948508
EPS8L3,1.532504226
CSF1,0.0
AHCYL1,0.677533361
STRIP1,0.011442485
RP4-773N10.4,0.0
ALX3,0.0
KCNC4,0.0
RP5-1074L1.1,0.0
RBM15,0.073560118
SLC16A4,0.0
RP5-1074L1.4,0.039381092
LAMTOR5-AS1,0.005565747
LAMTOR5,2.531819146
KCNA2,0.0
RP11-284N8.3,0.0
KCNA3,0.0
CD53,0.0
LRIF1,0.333020221
RP11-96K19.5,0.0
DRAM2,0.457286698
CEPT1,0.217067063
RP5-1180E21.4,0.0
RP5-1180E21.5,0.0
DENND2D,0.248246792
CHI3L2,0.0
PIFO,0.0
OVGP1,0.0
WDR77,0.074915171
ATP5F1,2.207441905
C1orf162,0.013848281
ADORA3,0.0
RAP1A,0.69498374
FAM212B,0.0
FAM212B-AS1,0.0
DDX20,0.016939047
KCND3,0.024898414
RP11-88H9.2,0.008282534
CTTNBP2NL,0.604247393
WNT2B,0.0
RP4-671G15.2,0.0
ST7L,0.063169687
CAPZA1,1.881422234
MOV10,0.424051012
RHOC,6.927577524
PPM1J,0.022714345
RP11-426L16.9,0.0
RP11-426L16.8,0.0
RP3-522D1.1,0.0
SLC16A1,0.375406383
SLC16A1-AS1,0.0
RP11-389O22.1,0.0
RP11-31F15.2,0.0
LRIG2,0.0
MAGI3,0.641210706
PHTF1,0.041644456
RSBN1,0.639301496
PTPN22,0.019139489
AP4B1-AS1,0.0
BCL2L15,0.485738585
AP4B1,0.042505536
DCLRE1B,0.0
RP5-1073O3.7,0.0
HIPK1,0.270821963
OLFML3,0.0
TRIM33,0.220895257
BCAS2,0.099976667
DENND2C,0.0
AMPD1,0.0
NRAS,0.28075177
CSDE1,2.370838026
SIKE1,0.211802686
TSPAN2,0.093689102
RP4-666F24.3,0.0
VANGL1,0.206895525
SLC22A15,0.0
ATP1A1,1.640524927
AL136376.1,0.0
RP5-1086K13.1,0.0
CD58,0.562799939
IGSF3,0.108107331
CD2,0.008282534
RP4-753F5.1,0.0
PTGFRN,0.055685663
CD101,0.0
TTF2,0.0
TRIM45,0.0
RP11-188D8.1,0.0
MAN1A2,0.524777537
AL157902.3,0.0
FAM46C,0.680568426
GDAP2,0.233467457
WDR3,0.06043539
SPAG17,0.0
WARS2,0.086797963
WARS2-IT1,0.0
RP11-418J17.1,0.0
HSD3B2,0.0
HSD3B1,0.070974336
ZNF697,0.0
PHGDH,0.0120963
HMGCS2,2.176085848
REG4,0.166899271
NOTCH2,1.330386022
RP11-439A17.7,0.0
FAM72B,0.0
RP11-439A17.9,0.0
FCGR1B,0.0
RP11-343N15.5,0.0
AL592494.5,0.0
RP11-344P13.6,0.0
RP11-417J8.3,0.0
RP11-417J8.6,0.0
RP11-423O2.5,0.020856275
RP11-782C8.2,0.0
RP11-782C8.1,0.006530553
RP11-782C8.3,0.019139489
RP11-782C8.5,0.0
RP11-435B5.3,0.0
RP11-435B5.4,0.020241604
RP11-435B5.5,0.0
RP6-206I17.1,0.0
RP6-206I17.2,0.0
FAM72D,0.0
LINC00623,0.0
AL592284.1,0.0
RP11-640M9.1,0.191721122
NBPF9,0.167827662
RP4-791M13.3,0.0
PDE4DIP,0.088991468
AL590452.1,0.0
RP11-326G21.1,0.0
NOTCH2NL,1.060653127
RP11-458D21.5,0.0
NBPF10,1.937612391
RP11-458D21.1,0.0
TXNIP,7.63402635
POLR3GL,0.150599753
RP11-315I20.1,0.056833682
LIX1L,0.0
RBM8A,1.758775714
PEX11B,0.343300979
ITGA10,0.0
ANKRD35,0.0
PIAS3,0.0
NUDT17,0.0
POLR3C,0.163842966
RNF115,0.140684656
CD160,0.0
PDZK1,0.0
GPR89A,0.0
GPR89C,0.0
NBPF11,0.0
NBPF12,0.0
PRKAB2,0.187244562
RP11-337C18.8,0.326209244
FMO5,0.501661077
RP11-337C18.9,0.0
CHD1L,0.124786478
BCL9,0.247719326
ACP6,0.224335966
GJA5,0.0
GPR89B,0.0
XXyac-YX155B6.7,0.0
NBPF24,0.0
XXyac-YX155B6.6,0.0
RP6-74O6.6,0.0
NBPF14,0.093311442
