node	all_nodes	bacteria_layer	bindingprot_layer	ppi_layer	tf_layer	deg_layer	gene_symbol	LinkerHeats	avg_log2FC
P08069	bindingprot,bindingprot and/or protein,protein and/or tf	NA	bindingprot	bindingprot and/or protein,protein and/or tf	NA	NA	IGF1R	0.220628367554552	
Q12778	bindingprot and/or protein,protein and/or tf,tf	NA	NA	bindingprot and/or protein,protein and/or tf	tf	NA	FOXO1	0.1523570910661912	
Q16236	bindingprot and/or protein,protein and/or tf,tf	NA	NA	bindingprot and/or protein,protein and/or tf	tf	NA	NFE2L2	0.1967155461333583	
P35568	bindingprot and/or protein,protein and/or tf	NA	NA	bindingprot and/or protein,protein and/or tf	NA	NA	IRS1	0.3118571854101201	
O60716	bindingprot and/or protein,protein and/or tf	NA	NA	bindingprot and/or protein,protein and/or tf	NA	NA	CTNND1	0.2578332376905502	
P49674	bindingprot and/or protein,protein and/or tf	NA	NA	bindingprot and/or protein,protein and/or tf	NA	NA	CSNK1E	0.1546233525630339	
Q9UQL6	bindingprot and/or protein,protein and/or tf	NA	NA	bindingprot and/or protein,protein and/or tf	NA	NA	HDAC5	0.1406948194312237	
P05412	bindingprot and/or protein,protein and/or tf,tf	NA	NA	bindingprot and/or protein,protein and/or tf	tf	NA	JUN	0.1944191905722609	
P24468	bindingprot and/or protein,protein and/or tf,tf,deg	NA	NA	bindingprot and/or protein,protein and/or tf	tf	deg	NR2F2	0.0348428083540657	7.2527580644243
Q9Y297	bindingprot and/or protein,protein and/or tf	NA	NA	bindingprot and/or protein,protein and/or tf	NA	NA	BTRC	0.0915249193836129	
P56945	bindingprot and/or protein,protein and/or tf	NA	NA	bindingprot and/or protein,protein and/or tf	NA	NA	BCAR1	0.227337142669301	
Q9Y4K3	bindingprot and/or protein,protein and/or tf	NA	NA	bindingprot and/or protein,protein and/or tf	NA	NA	TRAF6	0.1958235053617631	
P16591	bindingprot and/or protein,protein and/or tf	NA	NA	bindingprot and/or protein,protein and/or tf	NA	NA	FER	0.1931686882618646	
P06213	bindingprot and/or protein,protein and/or tf	NA	NA	bindingprot and/or protein,protein and/or tf	NA	NA	INSR	0.191522250453403	
P28482	bindingprot and/or protein,protein and/or tf	NA	NA	bindingprot and/or protein,protein and/or tf	NA	NA	MAPK1	0.1681713001115823	
O15530	bindingprot and/or protein,protein and/or tf	NA	NA	bindingprot and/or protein,protein and/or tf	NA	NA	PDPK1	0.2830446236363878	
Q9UQE7	bindingprot and/or protein,protein and/or tf	NA	NA	bindingprot and/or protein,protein and/or tf	NA	NA	SMC3	0.0287432553736812	
P43405	bindingprot and/or protein,protein and/or tf	NA	NA	bindingprot and/or protein,protein and/or tf	NA	NA	SYK	0.1826147738488494	
O15111	bindingprot and/or protein,protein and/or tf	NA	NA	bindingprot and/or protein,protein and/or tf	NA	NA	CHUK	0.2237315882387275	
P19525	bindingprot and/or protein,protein and/or tf	NA	NA	bindingprot and/or protein,protein and/or tf	NA	NA	EIF2AK2	0.1364318331663885	
P22681	bindingprot and/or protein,protein and/or tf	NA	NA	bindingprot and/or protein,protein and/or tf	NA	NA	CBL	0.1740869047025888	
Q12933	bindingprot and/or protein,protein and/or tf	NA	NA	bindingprot and/or protein,protein and/or tf	NA	NA	TRAF2	0.1579476080681949	
Q92859	bindingprot,bindingprot and/or protein,nan	NA	bindingprot	bindingprot and/or protein,nan	NA	NA	NEO1	0.021566275646721	
O14640	bindingprot and/or protein,protein and/or tf	NA	NA	bindingprot and/or protein,protein and/or tf	NA	NA	DVL1	0.2374629046531296	
Q9HBH9	bindingprot and/or protein,protein and/or tf	NA	NA	bindingprot and/or protein,protein and/or tf	NA	NA	MKNK2	0.1093516501025286	
P36897	bindingprot and/or protein,protein and/or tf,deg	NA	NA	bindingprot and/or protein,protein and/or tf	NA	deg	TGFBR1	0.1954861867092855	6.43481198193974
P50750	bindingprot and/or protein,protein and/or tf	NA	NA	bindingprot and/or protein,protein and/or tf	NA	NA	CDK9	0.1249499465138611	
Q92793	bindingprot and/or protein,protein and/or tf	NA	NA	bindingprot and/or protein,protein and/or tf	NA	NA	CREBBP	0.1834788552503616	
P11362	bindingprot,bindingprot and/or protein,protein and/or tf	NA	bindingprot	bindingprot and/or protein,protein and/or tf	NA	NA	FGFR1	0.1605309784040921	
Q14511	bindingprot and/or protein,protein and/or tf	NA	NA	bindingprot and/or protein,protein and/or tf	NA	NA	NEDD9	0.153649031761503	
O43184	bindingprot,bindingprot and/or protein,nan	NA	bindingprot	bindingprot and/or protein,nan	NA	NA	ADAM12	0.0474313127268003	
O43524	bindingprot and/or protein,protein and/or tf,tf	NA	NA	bindingprot and/or protein,protein and/or tf	tf	NA	FOXO3	0.1757820611707082	
P25490	bindingprot and/or protein,protein and/or tf,tf	NA	NA	bindingprot and/or protein,protein and/or tf	tf	NA	YY1	0.4102334674054357	
P04637	bindingprot and/or protein,protein and/or tf,tf	NA	NA	bindingprot and/or protein,protein and/or tf	tf	NA	TP53	0.1558320709694792	
P41240	bindingprot and/or protein,protein and/or tf	NA	NA	bindingprot and/or protein,protein and/or tf	NA	NA	CSK	0.213051425935069	
P49840	bindingprot and/or protein,protein and/or tf	NA	NA	bindingprot and/or protein,protein and/or tf	NA	NA	GSK3A	0.2075194427750778	
Q14164	bindingprot and/or protein,protein and/or tf	NA	NA	bindingprot and/or protein,protein and/or tf	NA	NA	IKBKE	0.1580798923057066	
Q13043	bindingprot and/or protein,protein and/or tf	NA	NA	bindingprot and/or protein,protein and/or tf	NA	NA	STK4	0.1307571734510185	
P22736	bindingprot and/or protein,protein and/or tf,tf	NA	NA	bindingprot and/or protein,protein and/or tf	tf	NA	NR4A1	0.1239670953738193	
O75676	bindingprot and/or protein,protein and/or tf	NA	NA	bindingprot and/or protein,protein and/or tf	NA	NA	RPS6KA4	0.1080679200711266	
P36896	bindingprot and/or protein,protein and/or tf	NA	NA	bindingprot and/or protein,protein and/or tf	NA	NA	ACVR1B	0.1869978523076652	
Q02750	bindingprot and/or protein,protein and/or tf	NA	NA	bindingprot and/or protein,protein and/or tf	NA	NA	MAP2K1	0.2279668474628426	
Q04721	bindingprot,bindingprot and/or protein,protein and/or tf	NA	bindingprot	bindingprot and/or protein,protein and/or tf	NA	NA	NOTCH2	0.3978845580483552	
P04150	bindingprot and/or protein,protein and/or tf,tf	NA	NA	bindingprot and/or protein,protein and/or tf	tf	NA	NR3C1	0.1585987216392699	
P31749	bindingprot and/or protein,protein and/or tf	NA	NA	bindingprot and/or protein,protein and/or tf	NA	NA	AKT1	0.1679657975092913	
O00443	bindingprot and/or protein,protein and/or tf	NA	NA	bindingprot and/or protein,protein and/or tf	NA	NA	PIK3C2A	0.0469523376918937	
P28702	bindingprot and/or protein,protein and/or tf	NA	NA	bindingprot and/or protein,protein and/or tf	NA	NA	RXRB	0.0321791934105678	
Q15418	bindingprot and/or protein,protein and/or tf	NA	NA	bindingprot and/or protein,protein and/or tf	NA	NA	RPS6KA1	0.1659544961314863	
Q13188	bindingprot and/or protein,protein and/or tf	NA	NA	bindingprot and/or protein,protein and/or tf	NA	NA	STK3	0.1228895162588469	
Q9NZJ5	bindingprot and/or protein,protein and/or tf	NA	NA	bindingprot and/or protein,protein and/or tf	NA	NA	EIF2AK3	0.0614316072490896	
P56524	bindingprot and/or protein,protein and/or tf	NA	NA	bindingprot and/or protein,protein and/or tf	NA	NA	HDAC4	0.1331355608788231	
P04083	bindingprot and/or protein,protein and/or tf,deg	NA	NA	bindingprot and/or protein,protein and/or tf	NA	deg	ANXA1	0.1387263387458037	7.2229947137514
P27361	bindingprot and/or protein,protein and/or tf	NA	NA	bindingprot and/or protein,protein and/or tf	NA	NA	MAPK3	0.2448459182382655	
Q15797	bindingprot and/or protein,protein and/or tf,tf	NA	NA	bindingprot and/or protein,protein and/or tf	tf	NA	SMAD1	0.484824465877234	
Q8WYK2	bindingprot and/or protein,protein and/or tf,tf	NA	NA	bindingprot and/or protein,protein and/or tf	tf	NA	JDP2	0.0793854134685847	
P17676	bindingprot and/or protein,protein and/or tf,tf	NA	NA	bindingprot and/or protein,protein and/or tf	tf	NA	CEBPB	0.1661430898640623	
O14672	bindingprot,bindingprot and/or protein,nan	NA	bindingprot	bindingprot and/or protein,nan	NA	NA	ADAM10	0.1262188028272864	
Q13976	bindingprot and/or protein,protein and/or tf	NA	NA	bindingprot and/or protein,protein and/or tf	NA	NA	PRKG1	0.1625981735618915	
Q08345	bindingprot and/or protein,protein and/or tf	NA	NA	bindingprot and/or protein,protein and/or tf	NA	NA	DDR1	0.0596601313918075	
Q13523	bindingprot and/or protein,protein and/or tf	NA	NA	bindingprot and/or protein,protein and/or tf	NA	NA	PRP4K	0.1029828804458991	
P10827	bindingprot and/or protein,protein and/or tf,tf	NA	NA	bindingprot and/or protein,protein and/or tf	tf	NA	THRA	0.0559861348537043	
P08581	bindingprot and/or protein,protein and/or tf	NA	NA	bindingprot and/or protein,protein and/or tf	NA	NA	MET	0.1787953173869696	
P17535	bindingprot and/or protein,protein and/or tf,tf	NA	NA	bindingprot and/or protein,protein and/or tf	tf	NA	JUND	0.1122114308014937	
P05771	bindingprot and/or protein,protein and/or tf	NA	NA	bindingprot and/or protein,protein and/or tf	NA	NA	PRKCB	0.1910495880749065	
P12830	bindingprot and/or protein,protein and/or tf	NA	NA	bindingprot and/or protein,protein and/or tf	NA	NA	CDH1	0.2357079481837484	
Q13131	bindingprot and/or protein,protein and/or tf,deg	NA	NA	bindingprot and/or protein,protein and/or tf	NA	deg	PRKAA1	0.1011169884611041	2.35973456079798
P23469	bindingprot and/or protein,protein and/or tf	NA	NA	bindingprot and/or protein,protein and/or tf	NA	NA	PTPRE	0.1611964042581367	
P20936	bindingprot and/or protein,protein and/or tf	NA	NA	bindingprot and/or protein,protein and/or tf	NA	NA	RASA1	0.0765845932952876	
P51617	bindingprot and/or protein,protein and/or tf	NA	NA	bindingprot and/or protein,protein and/or tf	NA	NA	IRAK1	0.0509642248205798	
Q13485	bindingprot and/or protein,protein and/or tf,tf	NA	NA	bindingprot and/or protein,protein and/or tf	tf	NA	SMAD4	0.1553540146636934	
O60674	bindingprot and/or protein,protein and/or tf	NA	NA	bindingprot and/or protein,protein and/or tf	NA	NA	JAK2	0.3810962101860068	
Q13555	bindingprot and/or protein,protein and/or tf	NA	NA	bindingprot and/or protein,protein and/or tf	NA	NA	CAMK2G	0.1453924796469771	
P52735	bindingprot and/or protein,protein and/or tf	NA	NA	bindingprot and/or protein,protein and/or tf	NA	NA	VAV2	0.1626836681169843	
P19793	bindingprot and/or protein,protein and/or tf,tf	NA	NA	bindingprot and/or protein,protein and/or tf	tf	NA	RXRA	0.1182442639469427	
P40818	bindingprot and/or protein,protein and/or tf	NA	NA	bindingprot and/or protein,protein and/or tf	NA	NA	USP8	0.061956236615958	
P04626	bindingprot,bindingprot and/or protein,protein and/or tf	NA	bindingprot	bindingprot and/or protein,protein and/or tf	NA	NA	ERBB2	0.1709280083082649	
P16220	bindingprot and/or protein,protein and/or tf,tf	NA	NA	bindingprot and/or protein,protein and/or tf	tf	NA	CREB1	0.2135819378166164	
P17706	bindingprot and/or protein,protein and/or tf	NA	NA	bindingprot and/or protein,protein and/or tf	NA	NA	PTPN2	0.3430736547845462	
P36941	bindingprot,bindingprot and/or protein,nan	NA	bindingprot	bindingprot and/or protein,nan	NA	NA	LTBR	0.024543729029578	
P23443	bindingprot and/or protein,protein and/or tf	NA	NA	bindingprot and/or protein,protein and/or tf	NA	NA	RPS6KB1	0.1953645492030076	
P41279	bindingprot and/or protein,protein and/or tf	NA	NA	bindingprot and/or protein,protein and/or tf	NA	NA	MAP3K8	0.1203335250381696	
Q92769	bindingprot and/or protein,protein and/or tf	NA	NA	bindingprot and/or protein,protein and/or tf	NA	NA	HDAC2	0.1004089073672847	
P42336	bindingprot and/or protein,protein and/or tf	NA	NA	bindingprot and/or protein,protein and/or tf	NA	NA	PIK3CA	0.153482656794606	
P29353	bindingprot and/or protein,protein and/or tf	NA	NA	bindingprot and/or protein,protein and/or tf	NA	NA	SHC1	0.2604837560138685	
Q13627	bindingprot and/or protein,protein and/or tf	NA	NA	bindingprot and/or protein,protein and/or tf	NA	NA	DYRK1A	0.3135380764826231	
P49137	bindingprot and/or protein,protein and/or tf	NA	NA	bindingprot and/or protein,protein and/or tf	NA	NA	MAPKAPK2	0.1865587778652616	
P27986	bindingprot and/or protein,protein and/or tf	NA	NA	bindingprot and/or protein,protein and/or tf	NA	NA	PIK3R1	0.2102363690177015	
P15311	bindingprot and/or protein,protein and/or tf	NA	NA	bindingprot and/or protein,protein and/or tf	NA	NA	EZR	0.2001524789001977	
P61586	bindingprot and/or protein,protein and/or tf	NA	NA	bindingprot and/or protein,protein and/or tf	NA	NA	RHOA	0.1439093104453672	
Q14847	bindingprot and/or protein,protein and/or tf	NA	NA	bindingprot and/or protein,protein and/or tf	NA	NA	LASP1	0.143025783528724	
O60353	bindingprot,bindingprot and/or protein,protein and/or tf	NA	bindingprot	bindingprot and/or protein,protein and/or tf	NA	NA	FZD6	0.0289047310359954	
Q9NWQ8	bindingprot,bindingprot and/or protein,protein and/or tf	NA	bindingprot	bindingprot and/or protein,protein and/or tf	NA	NA	PAG1	0.1964050775872155	
P45985	bindingprot and/or protein,protein and/or tf	NA	NA	bindingprot and/or protein,protein and/or tf	NA	NA	MAP2K4	0.1442105377782179	
P24385	bindingprot and/or protein,protein and/or tf	NA	NA	bindingprot and/or protein,protein and/or tf	NA	NA	CCND1	0.1474565723332033	
P46531	bindingprot,bindingprot and/or protein,protein and/or tf,tf	NA	bindingprot	bindingprot and/or protein,protein and/or tf	tf	NA	NOTCH1	0.5625871262724059	
Q14289	bindingprot and/or protein,protein and/or tf	NA	NA	bindingprot and/or protein,protein and/or tf	NA	NA	PTK2B	0.3453196544714178	
Q13464	bindingprot and/or protein,protein and/or tf	NA	NA	bindingprot and/or protein,protein and/or tf	NA	NA	ROCK1	0.1763734040137669	
Q05513	bindingprot and/or protein,protein and/or tf	NA	NA	bindingprot and/or protein,protein and/or tf	NA	NA	PRKCZ	0.2577031951467526	
Q06124	bindingprot and/or protein,protein and/or tf	NA	NA	bindingprot and/or protein,protein and/or tf	NA	NA	PTPN11	0.3011153902491668	
P41235	bindingprot and/or protein,protein and/or tf,tf	NA	NA	bindingprot and/or protein,protein and/or tf	tf	NA	HNF4A	0.1418836475553316	
Q14247	bindingprot and/or protein,protein and/or tf,deg	NA	NA	bindingprot and/or protein,protein and/or tf	NA	deg	CTTN	0.2466013359553091	2.07986754951268
Q9H6Z4	bindingprot and/or protein,protein and/or tf	NA	NA	bindingprot and/or protein,protein and/or tf	NA	NA	RANBP3	0.0971746504647111	
Q9UHD2	bindingprot and/or protein,protein and/or tf	NA	NA	bindingprot and/or protein,protein and/or tf	NA	NA	TBK1	0.1088694054331602	
P42224	bindingprot and/or protein,protein and/or tf,tf	NA	NA	bindingprot and/or protein,protein and/or tf	tf	NA	STAT1	0.2222208136090296	
P78504	bindingprot,bindingprot and/or protein,protein and/or tf,deg	NA	bindingprot	bindingprot and/or protein,protein and/or tf	NA	deg	JAG1	0.1377643003112722	4.1749040980992
P10914	bindingprot and/or protein,protein and/or tf,tf	NA	NA	bindingprot and/or protein,protein and/or tf	tf	NA	IRF1	0.0312715777526718	
P05067	bindingprot and/or protein,protein and/or tf	NA	NA	bindingprot and/or protein,protein and/or tf	NA	NA	APP	0.1496860401322065	
P01106	bindingprot and/or protein,protein and/or tf,tf	NA	NA	bindingprot and/or protein,protein and/or tf	tf	NA	MYC	0.1755136081345628	
P09874	bindingprot and/or protein,protein and/or tf	NA	NA	bindingprot and/or protein,protein and/or tf	NA	NA	PARP1	0.1674781930976224	
Q03181	bindingprot and/or protein,protein and/or tf,tf	NA	NA	bindingprot and/or protein,protein and/or tf	tf	NA	PPARD	0.0803554081745652	
P62993	bindingprot and/or protein,protein and/or tf	NA	NA	bindingprot and/or protein,protein and/or tf	NA	NA	GRB2	0.1663447464957253	
Q9UJU2	bindingprot and/or protein,protein and/or tf,tf	NA	NA	bindingprot and/or protein,protein and/or tf	tf	NA	LEF1	0.4013610827770019	
O75581	bindingprot and/or protein,protein and/or tf	NA	NA	bindingprot and/or protein,protein and/or tf	NA	NA	LRP6	0.2285204959785322	
P18031	bindingprot and/or protein,protein and/or tf	NA	NA	bindingprot and/or protein,protein and/or tf	NA	NA	PTPN1	0.367090903725302	
Q13315	bindingprot and/or protein,protein and/or tf	NA	NA	bindingprot and/or protein,protein and/or tf	NA	NA	ATM	0.1081338296347641	
O43293	bindingprot and/or protein,protein and/or tf	NA	NA	bindingprot and/or protein,protein and/or tf	NA	NA	DAPK3	0.092679106365404	
P21802	bindingprot and/or protein,protein and/or tf	NA	NA	bindingprot and/or protein,protein and/or tf	NA	NA	FGFR2	0.115281330941705	
O95997	bindingprot and/or protein,protein and/or tf,deg	NA	NA	bindingprot and/or protein,protein and/or tf	NA	deg	PTTG1	0.0967556466827673	2.8788354515128
P10301	bindingprot and/or protein,protein and/or tf	NA	NA	bindingprot and/or protein,protein and/or tf	NA	NA	RRAS	0.1892326361326627	
Q8WUI4	bindingprot and/or protein,protein and/or tf,tf	NA	NA	bindingprot and/or protein,protein and/or tf	tf	NA	HDAC7	0.1212146705906355	
P48730	bindingprot and/or protein,protein and/or tf	NA	NA	bindingprot and/or protein,protein and/or tf	NA	NA	CSNK1D	0.1953894201165047	
P11274	bindingprot and/or protein,protein and/or tf	NA	NA	bindingprot and/or protein,protein and/or tf	NA	NA	BCR	0.2035746568193948	
Q13480	bindingprot and/or protein,protein and/or tf	NA	NA	bindingprot and/or protein,protein and/or tf	NA	NA	GAB1	0.1793157292014182	
Q13177	bindingprot and/or protein,protein and/or tf	NA	NA	bindingprot and/or protein,protein and/or tf	NA	NA	PAK2	0.1857628278719102	
P29597	bindingprot and/or protein,protein and/or tf	NA	NA	bindingprot and/or protein,protein and/or tf	NA	NA	TYK2	0.2965272117728595	
Q99717	bindingprot and/or protein,protein and/or tf,tf	NA	NA	bindingprot and/or protein,protein and/or tf	tf	NA	SMAD5	0.3260909598650337	
P50148	bindingprot and/or protein,protein and/or tf,deg	NA	NA	bindingprot and/or protein,protein and/or tf	NA	deg	GNAQ	0.0559952806758125	2.98957574886352
Q9NPG1	bindingprot,bindingprot and/or protein,nan	NA	bindingprot	bindingprot and/or protein,nan	NA	NA	FZD3	0.0858597883479245	
P11802	bindingprot and/or protein,protein and/or tf	NA	NA	bindingprot and/or protein,protein and/or tf	NA	NA	CDK4	0.1519404009458581	
Q13153	bindingprot and/or protein,protein and/or tf	NA	NA	bindingprot and/or protein,protein and/or tf	NA	NA	PAK1	0.206042270705707	
Q96EB6	bindingprot and/or protein,protein and/or tf,tf	NA	NA	bindingprot and/or protein,protein and/or tf	tf	NA	SIRT1	0.2320350231163661	
