source	target	source_genesymbol	target_genesymbol	is_directed	is_stimulation	is_inhibition	consensus_direction	consensus_stimulation	consensus_inhibition	curation_effort	references	sources	n_sources	n_primary_sources	n_references	references_stripped
Q13948	P19957	CUX1	PI3	True	True	False	True	True	False	3	CollecTRI:10229863;CollecTRI:10753867;CollecTRI:11689575	CollecTRI;ExTRI_CollecTRI	2	1	3	10229863;10753867;11689575
Q04864	P78504	REL	JAG1	True	True	False	True	True	False	2	CollecTRI:10329626;DoRothEA:10329626	CollecTRI;DoRothEA;ExTRI_CollecTRI;GEREDB_CollecTRI;TFactS_CollecTRI;TFactS_DoRothEA	6	2	1	10329626
Q04206	P78504	RELA	JAG1	True	True	False	True	True	False	3	CollecTRI:10329626;CollecTRI:17098279;DoRothEA:10329626	CollecTRI;DoRothEA;ExTRI_CollecTRI;GEREDB_CollecTRI;TFactS_CollecTRI;TFactS_DoRothEA	6	2	2	10329626;17098279
COMPLEX:Q04206	P78504	RELA	JAG1	True	True	False	True	True	False	1	CollecTRI:10329626	CollecTRI;ExTRI_CollecTRI;GEREDB_CollecTRI;TFactS_CollecTRI	4	1	1	10329626
COMPLEX:P19838	P78504	NFKB1	JAG1	True	True	False	True	True	False	1	CollecTRI:10329626	CollecTRI;ExTRI_CollecTRI;GEREDB_CollecTRI;TFactS_CollecTRI	4	1	1	10329626
COMPLEX:Q01201	P78504	RELB	JAG1	True	True	False	True	True	False	1	CollecTRI:10329626	CollecTRI;ExTRI_CollecTRI;GEREDB_CollecTRI;TFactS_CollecTRI	4	1	1	10329626
COMPLEX:Q00653	P78504	NFKB2	JAG1	True	True	False	True	True	False	1	CollecTRI:10329626	CollecTRI;ExTRI_CollecTRI;GEREDB_CollecTRI;TFactS_CollecTRI	4	1	1	10329626
COMPLEX:Q04864	P78504	REL	JAG1	True	True	False	True	True	False	1	CollecTRI:10329626	CollecTRI;ExTRI_CollecTRI;GEREDB_CollecTRI;TFactS_CollecTRI	4	1	1	10329626
P41235	P01009	HNF4A	SERPINA1	True	True	False	True	True	False	2	CollecTRI:10330009;CollecTRI:9927755	CollecTRI;DoRothEA;ENCODE-distal;ENCODE-proximal;ExTRI_CollecTRI;IntAct_DoRothEA;PAZAR_DoRothEA	7	4	2	10330009;9927755
P20823	P01009	HNF1A	SERPINA1	True	True	False	True	True	False	5	CollecTRI:10330009;CollecTRI:2020548;CollecTRI:2844524;CollecTRI:3262058;CollecTRI:3263567	CollecTRI;ExTRI_CollecTRI;NTNU.Curated_CollecTRI	3	1	5	10330009;2020548;2844524;3262058;3263567
P35680	P01009	HNF1B	SERPINA1	True	True	False	True	True	False	2	CollecTRI:10330009;CollecTRI:3263567	CollecTRI;ExTRI_CollecTRI	2	1	2	10330009;3263567
P20226	P00374	TBP	DHFR	True	True	False	True	True	False	1	CollecTRI:10336493	ABS;CollecTRI;ExTRI_CollecTRI	3	2	1	10336493
Q02447	P08047	SP3	SP1	True	True	False	True	True	False	23	CollecTRI:10362515;CollecTRI:11287330;CollecTRI:11517158;CollecTRI:12509426;CollecTRI:12554796;CollecTRI:12773549;CollecTRI:12888570;CollecTRI:15118068;CollecTRI:15541732;CollecTRI:15854045;CollecTRI:15857802;CollecTRI:15869407;CollecTRI:16574784;CollecTRI:16617124;CollecTRI:16806531;CollecTRI:19223508;CollecTRI:20096088;CollecTRI:21554857;CollecTRI:8070411;CollecTRI:8845379;CollecTRI:9632663;CollecTRI:9666093;CollecTRI:9788252	CollecTRI;ExTRI_CollecTRI	2	1	23	10362515;11287330;11517158;12509426;12554796;12773549;12888570;15118068;15541732;15854045;15857802;15869407;16574784;16617124;16806531;19223508;20096088;21554857;8070411;8845379;9632663;9666093;9788252
P17676	P08047	CEBPB	SP1	True	True	False	True	True	False	1	CollecTRI:10373535	CollecTRI;ExTRI_CollecTRI	2	1	1	10373535
P49716	P08047	CEBPD	SP1	True	True	False	False	False	False	1	CollecTRI:10373535	CollecTRI;ExTRI_CollecTRI	2	1	1	10373535
P32519	P61626	ELF1	LYZ	True	True	False	True	True	False	1	CollecTRI:10400620	CollecTRI;ExTRI_CollecTRI	2	1	1	10400620
Q99607	P61626	ELF4	LYZ	True	True	False	True	True	False	7	CollecTRI:10400620;CollecTRI:10629860;CollecTRI:12151102;CollecTRI:14976184;CollecTRI:15013761;CollecTRI:15504356;CollecTRI:16904644	CollecTRI;ExTRI_CollecTRI;GEREDB_CollecTRI;SIGNOR_CollecTRI	4	1	7	10400620;10629860;12151102;14976184;15013761;15504356;16904644
Q13887	P12544	KLF5	GZMA	True	True	False	True	True	False	1	CollecTRI:10417400	CollecTRI;ExTRI_CollecTRI	2	1	1	10417400
P14859	P01903	POU2F1	HLA-DRA	True	False	True	True	False	True	7	CollecTRI:10437913;CollecTRI:11533238;CollecTRI:15105429;CollecTRI:16827100;CollecTRI:19280058;DoRothEA:15105429;HTRIdb:15105429	CollecTRI;DoRothEA;ExTRI_CollecTRI;HTRI_CollecTRI;HTRIdb;HTRIdb_DoRothEA;NTNU.Curated_CollecTRI;RegNetwork_DoRothEA;TRED_DoRothEA	9	3	5	10437913;11533238;15105429;16827100;19280058
Q16665	P02786	HIF1A	TFRC	True	True	False	True	True	False	7	CollecTRI:10446187;CollecTRI:10446188;CollecTRI:10518614;CollecTRI:13679021;CollecTRI:16510596;CollecTRI:18519569;CollecTRI:23160040	ARACNe-GTEx_DoRothEA;CollecTRI;DoRothEA;ExTRI_CollecTRI;GEREDB_CollecTRI;PAZAR_DoRothEA;RegNetwork_DoRothEA;TFactS_CollecTRI;TFactS_DoRothEA;TFe_DoRothEA;TRED_DoRothEA;TRRUST_CollecTRI;TRRUST_DoRothEA	13	2	7	10446187;10446188;10518614;13679021;16510596;18519569;23160040
P01100	P30279	FOS	CCND2	True	True	False	True	True	False	1	CollecTRI:10479451	CollecTRI;ExTRI_CollecTRI	2	1	1	10479451
P49711	P61626	CTCF	LYZ	True	True	False	True	True	False	2	CollecTRI:10480923;CollecTRI:10940558	CollecTRI;ENCODE-distal;ExTRI_CollecTRI;GEREDB_CollecTRI	4	2	2	10480923;10940558
P01106	P30279	MYC	CCND2	True	True	False	True	True	False	13	CollecTRI:10508165;CollecTRI:10956386;CollecTRI:11060032;CollecTRI:11264343;CollecTRI:11511535;CollecTRI:14519204;CollecTRI:14660677;CollecTRI:15988028;CollecTRI:20857481;CollecTRI:21790895;CollecTRI:7526316;CollecTRI:9339900;SIGNOR:7526316	CollecTRI;DoRothEA;ExTRI_CollecTRI;RegNetwork_DoRothEA;SIGNOR;SIGNOR_CollecTRI;TFactS_CollecTRI;TFactS_DoRothEA;TRED_DoRothEA;TRRUST_CollecTRI;TRRUST_DoRothEA	11	3	12	10508165;10956386;11060032;11264343;11511535;14519204;14660677;15988028;20857481;21790895;7526316;9339900
P61244	P30279	MAX	CCND2	True	True	False	True	True	False	2	CollecTRI:10508165;CollecTRI:11511535	CollecTRI;ExTRI_CollecTRI	2	1	2	10508165;11511535
P18146	P25445	EGR1	FAS	True	False	True	True	False	True	6	CollecTRI:10508276;CollecTRI:12556466;CollecTRI:14751836;CollecTRI:15155664;CollecTRI:9300687;DoRothEA:9300687	CollecTRI;DoRothEA;ExTRI_CollecTRI;GEREDB_CollecTRI;NTNU.Curated_CollecTRI;RegNetwork_DoRothEA;SIGNOR_CollecTRI;TFactS_CollecTRI;TFactS_DoRothEA;TRED_DoRothEA;TRRUST_CollecTRI;TRRUST_DoRothEA	12	2	5	10508276;12556466;14751836;15155664;9300687
P04637	P16949	TP53	STMN1	True	False	True	True	False	True	8	CollecTRI:10514438;CollecTRI:11072234;CollecTRI:16909102;CollecTRI:19786090;CollecTRI:23584479;CollecTRI:23610071;CollecTRI:7823921;CollecTRI:9649502	CollecTRI;DoRothEA;ExTRI_CollecTRI;GEREDB_CollecTRI;RegNetwork_DoRothEA;TRED_DoRothEA	6	2	8	10514438;11072234;16909102;19786090;23584479;23610071;7823921;9649502
P62380	P52655	TBPL1	GTF2A1	True	True	False	True	True	False	4	CollecTRI:10523649;CollecTRI:12682363;CollecTRI:15767669;CollecTRI:24835508	CollecTRI;ExTRI_CollecTRI	2	1	4	10523649;12682363;15767669;24835508
Q02078	Q9Y6J0	MEF2A	CABIN1	True	True	False	True	True	False	4	CollecTRI:10531067;CollecTRI:10825153;CollecTRI:10933397;CollecTRI:11385620	CollecTRI;ExTRI_CollecTRI	2	1	4	10531067;10825153;10933397;11385620
P22415	P14635	USF1	CCNB1	True	True	False	True	True	False	3	CollecTRI:10548544;CollecTRI:7739559;DoRothEA:10548544	CollecTRI;DoRothEA;ExTRI_CollecTRI;GEREDB_CollecTRI;RegNetwork_DoRothEA;TRED_DoRothEA;TRRUST_CollecTRI;TRRUST_DoRothEA	8	2	2	10548544;7739559
P04637	Q5XPI4	TP53	RNF123	True	True	False	True	True	False	4	CollecTRI:10562557;CollecTRI:11593391;CollecTRI:21422812;CollecTRI:22085928	CollecTRI;ExTRI_CollecTRI	2	1	4	10562557;11593391;21422812;22085928
COMPLEX:P05412	P25445	JUN	FAS	True	True	False	True	True	False	9	CollecTRI:10575005;CollecTRI:10903433;CollecTRI:11733515;CollecTRI:12963547;CollecTRI:15160330;CollecTRI:16646028;CollecTRI:19670268;CollecTRI:22888145;CollecTRI:9881666	CollecTRI;ExTRI_CollecTRI;NTNU.Curated_CollecTRI;TRRUST_CollecTRI	4	1	9	10575005;10903433;11733515;12963547;15160330;16646028;19670268;22888145;9881666
COMPLEX:P17275	P25445	JUNB	FAS	True	True	False	True	True	False	9	CollecTRI:10575005;CollecTRI:10903433;CollecTRI:11733515;CollecTRI:12963547;CollecTRI:15160330;CollecTRI:16646028;CollecTRI:19670268;CollecTRI:22888145;CollecTRI:9881666	CollecTRI;ExTRI_CollecTRI;NTNU.Curated_CollecTRI;TRRUST_CollecTRI	4	1	9	10575005;10903433;11733515;12963547;15160330;16646028;19670268;22888145;9881666
COMPLEX:P17535	P25445	JUND	FAS	True	True	False	True	True	False	9	CollecTRI:10575005;CollecTRI:10903433;CollecTRI:11733515;CollecTRI:12963547;CollecTRI:15160330;CollecTRI:16646028;CollecTRI:19670268;CollecTRI:22888145;CollecTRI:9881666	CollecTRI;ExTRI_CollecTRI;NTNU.Curated_CollecTRI;TRRUST_CollecTRI	4	1	9	10575005;10903433;11733515;12963547;15160330;16646028;19670268;22888145;9881666
Q02363	P25445	ID2	FAS	True	False	True	True	False	True	1	CollecTRI:10585876	CollecTRI;ExTRI_CollecTRI;NTNU.Curated_CollecTRI	3	1	1	10585876
Q02535	P25445	ID3	FAS	True	False	True	True	False	True	1	CollecTRI:10585876	CollecTRI;ExTRI_CollecTRI;NTNU.Curated_CollecTRI	3	1	1	10585876
COMPLEX:P05412	P05156	JUN	CFI	True	True	False	True	True	False	1	CollecTRI:10630630	CollecTRI;ExTRI_CollecTRI;SIGNOR_CollecTRI	3	1	1	10630630
COMPLEX:P17275	P05156	JUNB	CFI	True	True	False	True	True	False	1	CollecTRI:10630630	CollecTRI;ExTRI_CollecTRI;SIGNOR_CollecTRI	3	1	1	10630630
COMPLEX:P17535	P05156	JUND	CFI	True	True	False	True	True	False	1	CollecTRI:10630630	CollecTRI;ExTRI_CollecTRI;SIGNOR_CollecTRI	3	1	1	10630630
COMPLEX:Q04206	P05156	RELA	CFI	True	True	False	True	True	False	1	CollecTRI:10630630	CollecTRI;ExTRI_CollecTRI;TRRUST_CollecTRI	3	1	1	10630630
COMPLEX:P19838	P05156	NFKB1	CFI	True	True	False	True	True	False	1	CollecTRI:10630630	CollecTRI;ExTRI_CollecTRI;TRRUST_CollecTRI	3	1	1	10630630
COMPLEX:Q01201	P05156	RELB	CFI	True	True	False	True	True	False	1	CollecTRI:10630630	CollecTRI;ExTRI_CollecTRI;TRRUST_CollecTRI	3	1	1	10630630
COMPLEX:Q00653	P05156	NFKB2	CFI	True	True	False	True	True	False	1	CollecTRI:10630630	CollecTRI;ExTRI_CollecTRI;TRRUST_CollecTRI	3	1	1	10630630
COMPLEX:Q04864	P05156	REL	CFI	True	True	False	True	True	False	1	CollecTRI:10630630	CollecTRI;ExTRI_CollecTRI;TRRUST_CollecTRI	3	1	1	10630630
P24468	P16070	NR2F2	CD44	True	True	False	True	True	False	3	CollecTRI:10644740;CollecTRI:11682620;CollecTRI:12943729	CollecTRI;ExTRI_CollecTRI	2	1	3	10644740;11682620;12943729
P10588	P16070	NR2F6	CD44	True	True	False	True	True	False	2	CollecTRI:10644740;CollecTRI:11682620	CollecTRI;ExTRI_CollecTRI	2	1	2	10644740;11682620
P41970	P16070	ELK3	CD44	True	True	False	True	True	False	1	CollecTRI:10644740	CollecTRI;ExTRI_CollecTRI	2	1	1	10644740
P01100	P16070	FOS	CD44	True	True	False	True	True	False	1	CollecTRI:10657993	CollecTRI;DoRothEA;ExTRI_CollecTRI;NTNU.Curated_CollecTRI;PAZAR_DoRothEA;ReMap_DoRothEA	6	2	1	10657993
P05412	P16070	JUN	CD44	True	True	False	True	True	False	1	CollecTRI:10657993	CollecTRI;DoRothEA;ExTRI_CollecTRI;GEREDB_CollecTRI;NTNU.Curated_CollecTRI;RegNetwork_DoRothEA;TRED_DoRothEA	7	2	1	10657993
COMPLEX:Q04206	P25445	RELA	FAS	True	True	False	True	True	False	22	CollecTRI:10022897;CollecTRI:10671224;CollecTRI:10871852;CollecTRI:11059688;CollecTRI:11290773;CollecTRI:11473033;CollecTRI:11568974;CollecTRI:12813034;CollecTRI:14693245;CollecTRI:15601669;CollecTRI:15619676;CollecTRI:16317104;CollecTRI:16784892;CollecTRI:16940415;CollecTRI:17786316;CollecTRI:19628709;CollecTRI:21359529;CollecTRI:22669972;CollecTRI:22888145;CollecTRI:23604035;CollecTRI:7528667;CollecTRI:9733827	CollecTRI;ExTRI_CollecTRI;NTNU.Curated_CollecTRI;TRRUST_CollecTRI	4	1	22	10022897;10671224;10871852;11059688;11290773;11473033;11568974;12813034;14693245;15601669;15619676;16317104;16784892;16940415;17786316;19628709;21359529;22669972;22888145;23604035;7528667;9733827
COMPLEX:P19838	P25445	NFKB1	FAS	True	True	False	True	True	False	22	CollecTRI:10022897;CollecTRI:10671224;CollecTRI:10871852;CollecTRI:11059688;CollecTRI:11290773;CollecTRI:11473033;CollecTRI:11568974;CollecTRI:12813034;CollecTRI:14693245;CollecTRI:15601669;CollecTRI:15619676;CollecTRI:16317104;CollecTRI:16784892;CollecTRI:16940415;CollecTRI:17786316;CollecTRI:19628709;CollecTRI:21359529;CollecTRI:22669972;CollecTRI:22888145;CollecTRI:23604035;CollecTRI:7528667;CollecTRI:9733827	CollecTRI;ExTRI_CollecTRI;NTNU.Curated_CollecTRI;TRRUST_CollecTRI	4	1	22	10022897;10671224;10871852;11059688;11290773;11473033;11568974;12813034;14693245;15601669;15619676;16317104;16784892;16940415;17786316;19628709;21359529;22669972;22888145;23604035;7528667;9733827
COMPLEX:Q01201	P25445	RELB	FAS	True	True	False	True	True	False	22	CollecTRI:10022897;CollecTRI:10671224;CollecTRI:10871852;CollecTRI:11059688;CollecTRI:11290773;CollecTRI:11473033;CollecTRI:11568974;CollecTRI:12813034;CollecTRI:14693245;CollecTRI:15601669;CollecTRI:15619676;CollecTRI:16317104;CollecTRI:16784892;CollecTRI:16940415;CollecTRI:17786316;CollecTRI:19628709;CollecTRI:21359529;CollecTRI:22669972;CollecTRI:22888145;CollecTRI:23604035;CollecTRI:7528667;CollecTRI:9733827	CollecTRI;ExTRI_CollecTRI;NTNU.Curated_CollecTRI;TRRUST_CollecTRI	4	1	22	10022897;10671224;10871852;11059688;11290773;11473033;11568974;12813034;14693245;15601669;15619676;16317104;16784892;16940415;17786316;19628709;21359529;22669972;22888145;23604035;7528667;9733827
COMPLEX:Q00653	P25445	NFKB2	FAS	True	True	False	True	True	False	22	CollecTRI:10022897;CollecTRI:10671224;CollecTRI:10871852;CollecTRI:11059688;CollecTRI:11290773;CollecTRI:11473033;CollecTRI:11568974;CollecTRI:12813034;CollecTRI:14693245;CollecTRI:15601669;CollecTRI:15619676;CollecTRI:16317104;CollecTRI:16784892;CollecTRI:16940415;CollecTRI:17786316;CollecTRI:19628709;CollecTRI:21359529;CollecTRI:22669972;CollecTRI:22888145;CollecTRI:23604035;CollecTRI:7528667;CollecTRI:9733827	CollecTRI;ExTRI_CollecTRI;NTNU.Curated_CollecTRI;TRRUST_CollecTRI	4	1	22	10022897;10671224;10871852;11059688;11290773;11473033;11568974;12813034;14693245;15601669;15619676;16317104;16784892;16940415;17786316;19628709;21359529;22669972;22888145;23604035;7528667;9733827
COMPLEX:Q04864	P25445	REL	FAS	True	True	False	True	True	False	22	CollecTRI:10022897;CollecTRI:10671224;CollecTRI:10871852;CollecTRI:11059688;CollecTRI:11290773;CollecTRI:11473033;CollecTRI:11568974;CollecTRI:12813034;CollecTRI:14693245;CollecTRI:15601669;CollecTRI:15619676;CollecTRI:16317104;CollecTRI:16784892;CollecTRI:16940415;CollecTRI:17786316;CollecTRI:19628709;CollecTRI:21359529;CollecTRI:22669972;CollecTRI:22888145;CollecTRI:23604035;CollecTRI:7528667;CollecTRI:9733827	CollecTRI;ExTRI_CollecTRI;NTNU.Curated_CollecTRI;TRRUST_CollecTRI	4	1	22	10022897;10671224;10871852;11059688;11290773;11473033;11568974;12813034;14693245;15601669;15619676;16317104;16784892;16940415;17786316;19628709;21359529;22669972;22888145;23604035;7528667;9733827
P08235	P08047	NR3C2	SP1	True	True	False	False	False	False	1	CollecTRI:10718920	CollecTRI;ExTRI_CollecTRI	2	1	1	10718920
Q04206	P08047	RELA	SP1	True	True	False	False	False	False	1	CollecTRI:10718920	CollecTRI;ExTRI_CollecTRI	2	1	1	10718920
P18846	Q06141	ATF1	REG3A	True	True	False	True	True	False	1	CollecTRI:10731689	CollecTRI;ExTRI_CollecTRI	2	1	1	10731689
COMPLEX:P05412	P17252	JUN	PRKCA	True	True	False	True	True	False	2	CollecTRI:10736427;CollecTRI:12794082	CollecTRI;ExTRI_CollecTRI	2	1	2	10736427;12794082
COMPLEX:P17275	P17252	JUNB	PRKCA	True	True	False	True	True	False	2	CollecTRI:10736427;CollecTRI:12794082	CollecTRI;ExTRI_CollecTRI	2	1	2	10736427;12794082
COMPLEX:P17535	P17252	JUND	PRKCA	True	True	False	True	True	False	2	CollecTRI:10736427;CollecTRI:12794082	CollecTRI;ExTRI_CollecTRI	2	1	2	10736427;12794082
P08047	P29323	SP1	EPHB2	True	True	False	True	True	False	2	CollecTRI:10751319;CollecTRI:9918860	CollecTRI;ExTRI_CollecTRI	2	1	2	10751319;9918860
Q5T0B9	P05451	ZNF362	REG1A	True	True	False	True	True	False	1	CollecTRI:10769629	CollecTRI;ExTRI_CollecTRI	2	1	1	10769629
P67809	P14866	YBX1	HNRNPL	True	True	False	True	True	False	1	CollecTRI:10809782	CollecTRI;ExTRI_CollecTRI	2	1	1	10809782
P11473	P08047	VDR	SP1	True	True	False	False	False	False	3	DoRothEA:15064717;HTRIdb:15064717	DoRothEA;HTRI_CollecTRI;HTRIdb;HTRIdb_DoRothEA	4	2	1	15064717
P23246	P08047	SFPQ	SP1	True	True	False	True	True	False	1	CollecTRI:10847580	CollecTRI;ExTRI_CollecTRI	2	1	1	10847580
P67809	P25445	YBX1	FAS	True	False	True	True	False	True	2	CollecTRI:10903433;DoRothEA:10903433	CollecTRI;DoRothEA;ExTRI_CollecTRI;NTNU.Curated_CollecTRI;TRRUST_CollecTRI;TRRUST_DoRothEA	6	2	1	10903433
P22736	Q9Y6J0	NR4A1	CABIN1	True	True	False	True	True	False	1	CollecTRI:10933397	CollecTRI;ExTRI_CollecTRI	2	1	1	10933397
P01106	Q13616	MYC	CUL1	True	True	False	True	True	False	3	CollecTRI:10970882;CollecTRI:12835716;SIGNOR:12835716	CollecTRI;ExTRI_CollecTRI;SIGNOR;SIGNOR_CollecTRI	4	2	2	10970882;12835716
P08047	P16070	SP1	CD44	True	True	False	True	True	False	11	CollecTRI:10976926;CollecTRI:11316768;CollecTRI:12091390;CollecTRI:12943729;CollecTRI:12972613;CollecTRI:15111490;CollecTRI:16943418;CollecTRI:18372343;CollecTRI:18596044;CollecTRI:21193408;DoRothEA:12972613	CollecTRI;DoRothEA;ExTRI_CollecTRI;ReMap_DoRothEA;RegNetwork_DoRothEA;TRED_DoRothEA;TRRUST_CollecTRI;TRRUST_DoRothEA	8	2	10	10976926;11316768;12091390;12943729;12972613;15111490;16943418;18372343;18596044;21193408
Q02447	P16070	SP3	CD44	True	True	False	True	True	False	3	CollecTRI:10976926;CollecTRI:12091390;CollecTRI:12943729	CollecTRI;ExTRI_CollecTRI	2	1	3	10976926;12091390;12943729
P04637	Q16665	TP53	HIF1A	True	False	True	False	False	False	5	CollecTRI:14992692;CollecTRI:15199132;CollecTRI:18815219;CollecTRI:19223463;CollecTRI:19714248	CollecTRI;ExTRI_CollecTRI;GEREDB_CollecTRI	3	1	5	14992692;15199132;18815219;19223463;19714248
P04637	O95071	TP53	UBR5	True	True	False	True	True	False	1	CollecTRI:11046142	CollecTRI;ExTRI_CollecTRI	2	1	1	11046142
P04637	P25445	TP53	FAS	True	True	False	True	True	False	18	CollecTRI:10101800;CollecTRI:11103825;CollecTRI:11313989;CollecTRI:12447615;CollecTRI:12788915;CollecTRI:12944915;CollecTRI:12963547;CollecTRI:14719118;CollecTRI:15580300;CollecTRI:16317104;CollecTRI:16322229;CollecTRI:16557594;CollecTRI:16951143;CollecTRI:19615968;CollecTRI:20797428;CollecTRI:7539102;CollecTRI:9841917;SIGNOR:9841917	CollecTRI;DoRothEA;DoRothEA-reviews_DoRothEA;ExTRI_CollecTRI;HOCOMOCO_DoRothEA;JASPAR_DoRothEA;KEGG-MEDICUS;NTNU.Curated_CollecTRI;ORegAnno_DoRothEA;PAZAR_DoRothEA;RegNetwork_DoRothEA;SIGNOR;SIGNOR_CollecTRI;TFactS_CollecTRI;TRED_DoRothEA;TRRUST_CollecTRI;TRRUST_DoRothEA	17	4	17	10101800;11103825;11313989;12447615;12788915;12944915;12963547;14719118;15580300;16317104;16322229;16557594;16951143;19615968;20797428;7539102;9841917
